layer,feature_id,closed,seq,lon,lat
road,w32872657_0,0,0,123.4412848,41.7447788
road,w32872657_0,0,1,123.4411614,41.7448801
road,w32872657_0,0,2,123.4387333,41.7468047
road,w32872657_0,0,3,123.4371453,41.7480900
road,w32872657_0,0,4,123.4366696,41.7484750
road,w32872657_0,0,5,123.4360822,41.7489372
river_line,w49962625_0,0,0,123.8652678,41.8618977
river_line,w49962625_0,0,1,123.8536620,41.8617813
river_line,w49962625_0,0,2,123.8455618,41.8614297
river_line,w49962625_0,0,3,123.8385744,41.8615301
river_line,w49962625_0,0,4,123.8317080,41.8619616
river_line,w49962625_0,0,5,123.8229533,41.8614502
river_line,w49962625_0,0,6,123.8195336,41.8627481
river_line,w49962625_0,0,7,123.8125062,41.8628414
river_line,w49962625_0,0,8,123.7904449,41.8636236
river_line,w49962625_0,0,9,123.7816901,41.8632721
river_line,w49962625_0,0,10,123.7809330,41.8627931
river_line,w49962625_0,0,11,123.7732788,41.8579504
river_line,w49962625_0,0,12,123.7660650,41.8559452
river_line,w49962625_0,0,13,123.7577219,41.8549297
river_line,w49962625_0,0,14,123.7501688,41.8578704
river_line,w49962625_0,0,15,123.7439131,41.8597680
river_line,w49962625_0,0,16,123.7396975,41.8604275
river_line,w49962625_0,0,17,123.7370704,41.8602598
river_line,w49962625_0,0,18,123.7336893,41.8600439
river_line,w49962625_0,0,19,123.7281962,41.8585097
river_line,w49962625_0,0,20,123.7197848,41.8510938
river_line,w49962625_0,0,21,123.7096568,41.8459789
river_line,w49962625_0,0,22,123.7005479,41.8420226
river_line,w49962625_0,0,23,123.6916323,41.8389453
river_line,w49962625_0,0,24,123.6852808,41.8384337
river_line,w49962625_0,0,25,123.6772128,41.8370269
river_line,w49962625_0,0,26,123.6710329,41.8340852
river_line,w49962625_0,0,27,123.6693645,41.8337808
river_line,w49962625_0,0,28,123.6688887,41.8336893
river_line,w49962625_0,0,29,123.6626215,41.8325504
river_line,w49962625_0,0,30,123.6557551,41.8322946
river_line,w49962625_0,0,31,123.6485453,41.8339573
river_line,w49962625_0,0,32,123.6401339,41.8370269
river_line,w49962625_0,0,33,123.6336108,41.8366432
river_line,w49962625_0,0,34,123.6262293,41.8322946
river_line,w49962625_0,0,35,123.6174746,41.8280736
river_line,w49962625_0,0,36,123.6162676,41.8274916
river_line,w49962625_0,0,37,123.6087199,41.8238523
river_line,w49962625_0,0,38,123.6001368,41.8197587
river_line,w49962625_0,0,39,123.5894938,41.8160486
river_line,w49962625_0,0,40,123.5809107,41.8127221
river_line,w49962625_0,0,41,123.5737009,41.8082439
river_line,w49962625_0,0,42,123.5666342,41.8031644
river_line,w49962625_0,0,43,123.5640879,41.8013341
river_line,w49962625_0,0,44,123.5572215,41.7953194
river_line,w49962625_0,0,45,123.5496684,41.7916079
river_line,w49962625_0,0,46,123.5364504,41.7872562
river_line,w49962625_0,0,47,123.5297135,41.7844517
river_line,w49962625_0,0,48,123.5258074,41.7827762
river_line,w49962625_0,0,49,123.5194979,41.7795515
river_line,w49962625_0,0,50,123.5172654,41.7785929
river_line,w49962625_0,0,51,123.5161358,41.7761493
river_line,w49962625_0,0,52,123.5127954,41.7689221
river_line,w49962625_0,0,53,123.5097135,41.7634440
river_line,w49962625_0,0,54,123.5057354,41.7586679
river_line,w49962625_0,0,55,123.4969842,41.7543361
river_line,w49962625_0,0,56,123.4946799,41.7545933
river_line,w49962625_0,0,57,123.4819909,41.7522721
river_line,w49962625_0,0,58,123.4753390,41.7513436
river_line,w49962625_0,0,59,123.4602328,41.7512155
river_line,w49962625_0,0,60,123.4498043,41.7509594
river_line,w49962625_0,0,61,123.4419079,41.7480778
river_line,w49962625_0,0,62,123.4327240,41.7423783
river_line,w49962625_0,0,63,123.4290226,41.7419755
river_line,w49962625_0,0,64,123.4244843,41.7414817
river_line,w49962625_0,0,65,123.4166308,41.7420581
river_line,w49962625_0,0,66,123.4102793,41.7463488
river_line,w49962625_0,0,67,123.4065886,41.7525602
river_line,w49962625_0,0,68,123.4034987,41.7560178
river_line,w49962625_0,0,69,123.3974047,41.7580027
river_line,w49962625_0,0,70,123.3923407,41.7574905
river_line,w49962625_0,0,71,123.3859034,41.7549934
river_line,w49962625_0,0,72,123.3802963,41.7516554
river_line,w49962625_0,0,73,123.3774062,41.7499348
river_line,w49962625_0,0,74,123.3725996,41.7471813
river_line,w49962625_0,0,75,123.3659519,41.7456483
river_line,w49962625_0,0,76,123.3631583,41.7450040
river_line,w49962625_0,0,77,123.3543177,41.7434670
river_line,w49962625_0,0,78,123.3495112,41.7417379
river_line,w49962625_0,0,79,123.3451338,41.7394963
river_line,w49962625_0,0,80,123.3427306,41.7369345
river_line,w49962625_0,0,81,123.3392973,41.7318105
river_line,w49962625_0,0,82,123.3359386,41.7276650
river_line,w49962625_0,0,83,123.3348341,41.7263017
river_line,w49962625_0,0,84,123.3324920,41.7241691
river_line,w49962625_0,0,85,123.3305426,41.7223940
river_line,w49962625_0,0,86,123.3217879,41.7182939
river_line,w49962625_0,0,87,123.3144064,41.7159875
river_line,w49962625_0,0,88,123.3075400,41.7136169
river_line,w49962625_0,0,89,123.3057266,41.7130533
river_line,w49962625_0,0,90,123.3044177,41.7126465
river_line,w49962625_0,0,91,123.3000727,41.7113103
river_line,w49962625_0,0,92,123.2896014,41.7131043
river_line,w49962625_0,0,93,123.2835436,41.7145285
river_line,w49962625_0,0,94,123.2781859,41.7157953
river_line,w49962625_0,0,95,123.2756513,41.7168140
river_line,w49962625_0,0,96,123.2748385,41.7171407
river_line,w49962625_0,0,97,123.2716628,41.7156671
river_line,w49962625_0,0,98,123.2731219,41.7100929
river_line,w49962625_0,0,99,123.2748725,41.7064264
river_line,w49962625_0,0,100,123.2790442,41.7041337
river_line,w49962625_0,0,101,123.2823058,41.7002247
river_line,w49962625_0,0,102,123.2842799,41.6967000
river_line,w49962625_0,0,103,123.2831641,41.6926623
river_line,w49962625_0,0,104,123.2817049,41.6910600
river_line,w49962625_0,0,105,123.2793875,41.6900986
river_line,w49962625_0,0,106,123.2758685,41.6895858
river_line,w49962625_0,0,107,123.2716628,41.6897140
river_line,w49962625_0,0,108,123.2671137,41.6877271
river_line,w49962625_0,0,109,123.2595547,41.6865750
river_line,w49962625_0,0,110,123.2587023,41.6864451
river_line,w49962625_0,0,111,123.2508059,41.6878552
river_line,w49962625_0,0,112,123.2424803,41.6897781
river_line,w49962625_0,0,113,123.2369872,41.6924700
river_line,w49962625_0,0,114,123.2320948,41.6929187
river_line,w49962625_0,0,115,123.2294341,41.6917009
river_line,w49962625_0,0,116,123.2288332,41.6888167
river_line,w49962625_0,0,117,123.2305499,41.6818299
river_line,w49962625_0,0,118,123.2297774,41.6788170
river_line,w49962625_0,0,119,123.2253142,41.6761245
river_line,w49962625_0,0,120,123.2231684,41.6754834
river_line,w49962625_0,0,121,123.2193919,41.6756116
river_line,w49962625_0,0,122,123.2146712,41.6773425
river_line,w49962625_0,0,123,123.2076331,41.6790734
river_line,w49962625_0,0,124,123.2024832,41.6784965
river_line,w49962625_0,0,125,123.1993933,41.6754193
river_line,w49962625_0,0,126,123.1981059,41.6722779
river_line,w49962625_0,0,127,123.1977625,41.6673411
river_line,w49962625_0,0,128,123.1963892,41.6634939
river_line,w49962625_0,0,129,123.1915827,41.6613779
river_line,w49962625_0,0,130,123.1843729,41.6608008
river_line,w49962625_0,0,131,123.1823988,41.6584282
river_line,w49962625_0,0,132,123.1757040,41.6527849
river_line,w49962625_0,0,133,123.1645461,41.6490010
river_line,w49962625_0,0,134,123.1569071,41.6465638
river_line,w49962625_0,0,135,123.1487532,41.6432286
river_line,w49962625_0,0,136,123.1412001,41.6416892
river_line,w49962625_0,0,137,123.1349345,41.6386102
river_line,w49962625_0,0,138,123.1270380,41.6368141
river_line,w49962625_0,0,139,123.1212874,41.6354670
river_line,w49962625_0,0,140,123.1198112,41.6353593
river_line,w49962625_0,0,141,123.1186009,41.6351315
river_line,w49962625_0,0,142,123.1160990,41.6341276
river_line,w49962625_0,0,143,123.1143201,41.6325014
river_line,w49962625_0,0,144,123.1140375,41.6291890
river_line,w49962625_0,0,145,123.1129168,41.6266585
river_line,w49962625_0,0,146,123.1124468,41.6235984
river_line,w49962625_0,0,147,123.1111852,41.6200018
river_line,w49962625_0,0,148,123.1102453,41.6175234
river_line,w49962625_0,0,149,123.1071253,41.6160270
river_line,w49962625_0,0,150,123.1045504,41.6150003
river_line,w49962625_0,0,151,123.1035204,41.6129469
river_line,w49962625_0,0,152,123.1022787,41.6116242
river_line,w49962625_0,0,153,123.1021520,41.6099706
river_line,w49962625_0,0,154,123.1039861,41.6061264
river_line,w49962625_0,0,155,123.1034261,41.6040133
river_line,w49962625_0,0,156,123.1007738,41.6015234
river_line,w49962625_0,0,157,123.0966540,41.5998547
river_line,w49962625_0,0,158,123.0932851,41.5974798
river_line,w49962625_0,0,159,123.0909892,41.5930508
river_line,w49962625_0,0,160,123.0885859,41.5904831
river_line,w49962625_0,0,161,123.0824061,41.5873535
river_line,w49962625_0,0,162,123.0802388,41.5857968
river_line,w49962625_0,0,163,123.0793190,41.5847624
river_line,w49962625_0,0,164,123.0785008,41.5818003
river_line,w49962625_0,0,165,123.0782862,41.5794409
river_line,w49962625_0,0,166,123.0778813,41.5763357
river_line,w49962625_0,0,167,123.0786323,41.5696418
river_line,w49962625_0,0,168,123.0781144,41.5657318
river_line,w49962625_0,0,169,123.0745097,41.5583784
river_line,w49962625_0,0,170,123.0714198,41.5554239
river_line,w49962625_0,0,171,123.0660983,41.5532401
river_line,w49962625_0,0,172,123.0522473,41.5504299
river_line,w49962625_0,0,173,123.0492782,41.5502221
river_line,w49962625_0,0,174,123.0479693,41.5493308
river_line,w49962625_0,0,175,123.0461641,41.5480212
river_line,w49962625_0,0,176,123.0433345,41.5468417
river_line,w49962625_0,0,177,123.0370903,41.5445934
